date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:31	1087/1087	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:14%20GMT	http://tasarimussu.com.tr/en/img/menu_portfolyo_H.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/en/img/menu_portfolyo_H.png	(from http://tasarimussu.com.tr/en/haberler_bizden.php)
17:47:32	823/823	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:13%20GMT	http://tasarimussu.com.tr/en/img/menu_portfolyo.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/en/img/menu_portfolyo.png	(from http://tasarimussu.com.tr/en/haberler_bizden.php)
17:47:32	399057/399057	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2028%20Sep%202020%2011:10:27%20GMT	http://tasarimussu.com.tr/vendor/jquery.js	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/vendor/jquery.js	(from http://tasarimussu.com.tr/haberler_bizden.php)
17:47:33	6849/6849	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:14%20GMT	http://tasarimussu.com.tr/en/img/turquality_1.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/en/img/turquality_1.png	(from http://tasarimussu.com.tr/en/haberler_bizden.php)
17:47:33	4078/4078	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:13%20GMT	http://tasarimussu.com.tr/en/img/tt.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/en/img/tt.png	(from http://tasarimussu.com.tr/en/haberler_bizden.php)
17:47:34	12408/12408	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2028%20Sep%202020%2011:10:14%20GMT	http://tasarimussu.com.tr/en/dist/lity.js	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/en/dist/lity.js	(from http://tasarimussu.com.tr/en/haberler_bizden.php)
17:47:34	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Feb%202026%2014:47:35%20GMT	http://tasarimussu.com.tr/en/assets/prism.js	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/en/assets/prism.js	(from http://tasarimussu.com.tr/en/haberler_bizden.php)
17:47:38	243492/243492	---M--	200	added ('OK')	image/gif	date:Mon,%2028%20Sep%202020%2011:10:23%20GMT	http://tasarimussu.com.tr/img/tasarimussuANI.gif	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/img/tasarimussuANI.gif	(from http://tasarimussu.com.tr/)
17:47:38	395/395	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:19%20GMT	http://tasarimussu.com.tr/img/menu_prev.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/img/menu_prev.png	(from http://tasarimussu.com.tr/src/slides.css)
17:47:39	414/414	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:19%20GMT	http://tasarimussu.com.tr/img/menu_next.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/img/menu_next.png	(from http://tasarimussu.com.tr/src/slides.css)
